정류장번호,정류장명,위도,경도,도시명,reason,detail
GGB164000081,송도유원지(도로교통공단),37.4172,126.65005,인천광역시,outside_region,contained:인천광역시
GGB164000468,송도자이하버뷰1단지,37.3969167,126.6423333,인천광역시,outside_region,contained:인천광역시
GGB164000488,송도자이하버뷰2단지202동,37.3956,126.6442167,인천광역시,outside_region,contained:인천광역시
GGB164000207,송도재래시장,37.4264,126.6566167,인천광역시,outside_region,contained:인천광역시
GGB164000210,송도재래시장,37.4270333,126.6572333,인천광역시,outside_region,contained:인천광역시
GGB164000705,송도제2차고지,37.3668667,126.6652667,인천광역시,outside_region,contained:인천광역시
GGB164000424,송도지웰푸르지오시티,37.3840333,126.6438333,인천광역시,outside_region,contained:인천광역시
GGB164000701,송도체육센터,37.38675,126.6698167,인천광역시,outside_region,contained:인천광역시
GGB164000702,송도체육센터,37.3868833,126.6698667,인천광역시,outside_region,contained:인천광역시
GGB164000367,송도컨벤시아,37.3884833,126.6483,인천광역시,outside_region,contained:인천광역시
GGB164000369,송도컨벤시아,37.3883,126.6485667,인천광역시,outside_region,contained:인천광역시
GGB164000662,송도컨벤시아남문,37.3870333,126.64335,인천광역시,outside_region,contained:인천광역시
GGB164000663,송도컨벤시아남문,37.3867667,126.6443833,인천광역시,outside_region,contained:인천광역시
GGB165000929,송도테크노파크IT센터,37.3819333,126.6632333,인천광역시,outside_region,contained:인천광역시
GGB164000627,송도파크레인동일하이빌,37.40565,126.6575167,인천광역시,outside_region,contained:인천광역시
