stop_key,ggb_id,seb_id,ggb_name,seb_name,dist_m,ggb_ars,seb_ars,sgg_nm,names_compatible,decision
100000174,GGB100000174,SEB100000174,세종문화회관,세종문화회관,58.9,01272,01272,종로구,1,merged_far
123000632,GGB123000632,SEB123000632,송파나루역,송파나루역,58.8,24199,24199,송파구,1,merged_far
111000081,GGB111000081,SEB111000081,새절역,새절역,58.1,12169,12169,은평구,1,merged_far
112000098,GGB112000098,SEB112000098,삼성래미안2차아파트,삼성래미안2차아파트,58.0,13181,13181,서대문구,1,merged_far
115000306,GGB115000306,SEB115000306,마곡수명산파크3단지4단지,마곡수명산파크3단지4단지,57.9,16420,16420,강서구,1,merged_far
113000106,GGB113000106,SEB113000106,마포중앙도서관,마포중앙도서관,57.4,14197,14197,마포구,1,merged_far
111000034,GGB111000034,SEB111000034,불광역4번출구,불광역4번출구,57.1,12122,12122,은평구,1,merged_far
105000196,GGB105000196,SEB105000196,동대문경찰서,동대문경찰서,56.5,06282,06282,동대문구,1,merged_far
110000303,GGB110000303,SEB110000303,영신여자고등학교입구,영신여자고등학교입구,56.4,11404,11404,노원구,1,merged_far
116000572,GGB116000572,SEB116000572,남부교도소,남부교도소,56.3,17653,17653,구로구,1,merged_far
107000063,GGB107000063,SEB107000063,종암동주민센터,종암동주민센터,56.2,08153,08153,성북구,1,merged_far
116000102,GGB116000102,SEB116000102,수궁동주민센터,수궁동주민센터,55.8,17188,17188,구로구,1,merged_far
121000136,GGB121000136,SEB121000136,서울지방조달청.서울성모병원,서울지방조달청.서울성모병원,55.8,22212,22212,서초구,1,merged_far
113000100,GGB113000100,SEB113000100,경성중고.홍대부속여중고입구,경성중고.홍대부속여중고입구,55.5,14191,14191,마포구,1,merged_far
122000304,GGB122000304,SEB122000304,세곡동주민센터,세곡동주민센터,55.0,23411,23411,강남구,1,merged_far
225000149,GGB225000149,SEB225000149,충무주공아파트,충무주공아파트,55.0,26065,40101,군포시,1,merged_far
105000067,GGB105000067,SEB105000067,동아.위더스빌아파트,답십리2동주민센터,54.9,06153,06153,동대문구,0,split
210000220,GGB210000220,SEB210000220,그린타운상가.무지개마을,그린타운상가.무지개마을,54.8,11168,46618,부천시,1,merged_far
119000057,GGB119000057,SEB119000057,상도초등학교입구,상도초등학교입구,54.6,20150,20150,동작구,1,merged_far
117000023,GGB117000023,SEB117000023,디지털3단지.(주)로옴코리아,디지털3단지.(주)로옴코리아,54.5,18109,18109,금천구,1,merged_far
123000199,GGB123000199,SEB123000199,송파구립마천청소년센터,송파구립마천청소년센터,54.5,24289,24289,송파구,1,merged_far
121900318,GGB121900318,SEB121900318,서초포레스타5단지정문,서초포레스타5단지정문,54.2,22609,22609,서초구,1,merged_far
