stop_key,name,name_norm,name_key,aliases,lat,lon,sido_cd,sido_nm,sgg_cd,sgg_nm,region_method,snap_dist_m,source_ids,rep_source,ars_nos,merge_status,twin_dist_m,is_virtual,raw_city_label
233003079,수화리,수화리,수화리,,37.2572833,126.8177333,41,경기도,41590,화성시,contain,,GGB233003079,GGB,36522,single,,0,경기도 화성시
233003080,수화2리.양철이,수화2리.양철이,수화2리양철이,,37.2481833,126.8183167,41,경기도,41590,화성시,contain,,GGB233003080,GGB,36516,single,,0,경기도 화성시
233003081,음실골,음실골,음실골,,37.2094500,126.8040667,41,경기도,41590,화성시,contain,,GGB233003081,GGB,60036,single,,0,경기도 화성시
233003082,양노3리,양노3리,양노3리,,37.2272833,126.8582000,41,경기도,41590,화성시,contain,,GGB233003082,GGB,55393,single,,0,경기도 화성시
233003084,동탄역(서측),동탄역(서측),동탄역,,37.1995833,127.0960833,41,경기도,41590,화성시,contain,,GGB233003084,GGB,55398,single,,0,경기도 화성시
233003085,동탄역(동측),동탄역(동측),동탄역,,37.1998500,127.0962833,41,경기도,41590,화성시,contain,,GGB233003085,GGB,55399,single,,0,경기도 화성시
233003086,황구지천.송산교앞,황구지천.송산교앞,황구지천송산교앞,,37.2055167,127.0246167,41,경기도,41590,화성시,contain,,GGB233003086,GGB,55413,single,,0,경기도 화성시
233003087,황구지천.송산교앞,황구지천.송산교앞,황구지천송산교앞,,37.2057833,127.0246833,41,경기도,41590,화성시,contain,,GGB233003087,GGB,55414,single,,0,경기도 화성시
233003088,병점성호플레르빌,병점성호플레르빌,병점성호플레르빌,,37.2007833,127.0234333,41,경기도,41590,화성시,contain,,GGB233003088,GGB,55415,single,,0,경기도 화성시
233003089,병점성호플레르빌,병점성호플레르빌,병점성호플레르빌,,37.2009333,127.0236500,41,경기도,41590,화성시,contain,,GGB233003089,GGB,55416,single,,0,경기도 화성시
233003090,대광빌라,대광빌라,대광빌라,,37.1993000,127.0233000,41,경기도,41590,화성시,contain,,GGB233003090,GGB,55417,single,,0,경기도 화성시
233003091,대광빌라,대광빌라,대광빌라,,37.1992000,127.0234167,41,경기도,41590,화성시,contain,,GGB233003091,GGB,55418,single,,0,경기도 화성시
233003092,우미린2차.호수부영3차,우미린2차.호수부영3차,우미린2차호수부영3차,,37.1713500,127.1064167,41,경기도,41590,화성시,contain,,GGB233003092,GGB,55419,single,,0,경기도 화성시
233003093,호수부영3차.우미린2차,호수부영3차.우미린2차,호수부영3차우미린2차,,37.1716667,127.1070833,41,경기도,41590,화성시,contain,,GGB233003093,GGB,55420,single,,0,경기도 화성시
233003094,송라리,송라리,송라리,,37.2818667,126.9083000,41,경기도,41590,화성시,contain,,GGB233003094,GGB,55421,single,,0,경기도 화성시
233003095,추모공원,추모공원,추모공원,,37.1991833,126.8825167,41,경기도,41590,화성시,contain,,GGB233003095,GGB,55422,single,,0,경기도 화성시
233003096,추모공원,추모공원,추모공원,,37.1992833,126.8824833,41,경기도,41590,화성시,contain,,GGB233003096,GGB,55423,single,,0,경기도 화성시
233003097,효행초.한신더휴에듀파크,효행초.한신더휴에듀파크,효행초한신더휴에듀파크,,37.2157000,126.9656333,41,경기도,41590,화성시,contain,,GGB233003097,GGB,55424,single,,0,경기도 화성시
233003098,효행초.한신더휴에듀파크,효행초.한신더휴에듀파크,효행초한신더휴에듀파크,,37.2161167,126.9670500,41,경기도,41590,화성시,contain,,GGB233003098,GGB,55425,single,,0,경기도 화성시
233003099,바이오단지입구,바이오단지입구,바이오단지입구,,37.1723000,126.7737500,41,경기도,41590,화성시,contain,,GGB233003099,GGB,55426,single,,0,경기도 화성시
233003104,송화초교.양우내안애,송화초교.양우내안애,송화초교양우내안애,,37.2012167,127.0400167,41,경기도,41590,화성시,contain,,GGB233003104,GGB,55431,single,,0,경기도 화성시
233003105,용수말,용수말,용수말,,37.1716500,126.9994333,41,경기도,41590,화성시,contain,,GGB233003105,GGB,55432,single,,0,경기도 화성시
233003106,남양뉴타운1단지,남양뉴타운1단지,남양뉴타운1단지,,37.2085167,126.8332667,41,경기도,41590,화성시,contain,,GGB233003106,GGB,55433,single,,0,경기도 화성시
233003107,남양뉴타운4단지,남양뉴타운4단지,남양뉴타운4단지,,37.2105833,126.8324000,41,경기도,41590,화성시,contain,,GGB233003107,GGB,55434,single,,0,경기도 화성시
233003108,남양동광뷰엘,남양동광뷰엘,남양동광뷰엘,,37.2084833,126.8299833,41,경기도,41590,화성시,contain,,GGB233003108,GGB,55435,single,,0,경기도 화성시
233003109,남양동광뷰엘,남양동광뷰엘,남양동광뷰엘,,37.2088167,126.8300833,41,경기도,41590,화성시,contain,,GGB233003109,GGB,55436,single,,0,경기도 화성시
233003110,남양고,남양고,남양고,,37.2057333,126.8256500,41,경기도,41590,화성시,contain,,GGB233003110,GGB,55437,single,,0,경기도 화성시
233003112,삼지전자,삼지전자,삼지전자,,37.1668333,127.0785500,41,경기도,41590,화성시,contain,,GGB233003112,GGB,55459,single,,0,경기도 화성시
233003113,삼지전자,삼지전자,삼지전자,,37.1669167,127.0786667,41,경기도,41590,화성시,contain,,GGB233003113,GGB,55460,single,,0,경기도 화성시
233003114,매향3리선착장,매향3리선착장,매향3리선착장,,37.0742167,126.7332000,41,경기도,41590,화성시,contain,,GGB233003114,GGB,36991,single,,0,경기도 화성시
233003115,매향3리선착장,매향3리선착장,매향3리선착장,,37.0739833,126.7329000,41,경기도,41590,화성시,contain,,GGB233003115,GGB,36992,single,,0,경기도 화성시
233003116,구름교차로,구름교차로,구름교차로,,37.1940833,126.6709000,41,경기도,41590,화성시,contain,,GGB233003116,GGB,37893,single,,0,경기도 화성시
233003117,구름교차로,구름교차로,구름교차로,,37.1936500,126.6723667,41,경기도,41590,화성시,contain,,GGB233003117,GGB,37595,single,,0,경기도 화성시
233003118,서신중학교후문,서신중학교후문,서신중학교후문,,37.1699000,126.7017500,41,경기도,41590,화성시,contain,,GGB233003118,GGB,55514,single,,0,경기도 화성시
233003119,서신중학교후문,서신중학교후문,서신중학교후문,,37.1699667,126.7018000,41,경기도,41590,화성시,contain,,GGB233003119,GGB,55515,single,,0,경기도 화성시
