chain_id,chain_name,line_group,line_raw,loop,seq,station_id,phys_id,name,lat,lon,status,source,src_no,src_name
sillim,수도권 경량도시철도 신림선,신림선,수도권 경량도시철도 신림선,0,11,sillim-S411,sillim-S411,관악산,37.4691690,126.9449548,db,comp,S411,관악산
jinjeop,진접선,4호선,진접선,0,1,jinjeop-0405,jinjeop-0405,진접역,37.7204720,127.2031670,db,comp,405,진접
jinjeop,진접선,4호선,진접선,0,2,jinjeop-0406,jinjeop-0406,오남역,37.7054056,127.1916440,db,comp,406,오남
jinjeop,진접선,4호선,진접선,0,3,jinjeop-0408,jinjeop-0408,별내별가람역,37.6678330,127.1161670,db,comp,408,별내별가람
jinjeop,진접선,4호선,진접선,0,4,seoul4-0409,seoul4-0409,불암산,37.6700900,127.0790040,db,added,,
metro8,수도권 전철 8호선,8호선,수도권 광역철도 8호선,0,1,seoul8-806,seoul8-806,동구릉,37.6105560,127.1350560,db,added,,
metro8,수도권 전철 8호선,8호선,수도권 광역철도 8호선,0,2,metro8-805,metro8-805,다산역,37.6243700,127.1498000,db,comp,805,다산
metro8,수도권 전철 8호선,8호선,수도권 광역철도 8호선,0,3,metro8-804,gyeongchun-1313,별내역,37.6425170,127.1273000,db,comp,804,별내
shinbundang,신분당선,신분당선,신분당선,0,1,shinbundang-D004,seoul3-0337,신사,37.5161253,127.0197609,db,comp,D04,신사
shinbundang,신분당선,신분당선,신분당선,0,2,shinbundang-D005,seoul7-0732,논현,37.5111154,127.0213658,db,comp,D05,논현
shinbundang,신분당선,신분당선,신분당선,0,3,shinbundang-D006,seoul9-4125,신논현,37.5045554,127.0245306,db,comp,D06,신논현
shinbundang,신분당선,신분당선,신분당선,0,4,shinbundang-D007,seoul2-0222,강남,37.4973854,127.0278789,db,comp,D07,강남
shinbundang,신분당선,신분당선,신분당선,0,5,shinbundang-D008,seoul3-0342,양재(서초구청),37.4844535,127.0340995,db,comp,D08,양재
shinbundang,신분당선,신분당선,신분당선,0,6,shinbundang-D009,shinbundang-D009,양재시민의숲(매헌),37.4709639,127.0384203,db,comp,D09,양재시민의숲
shinbundang,신분당선,신분당선,신분당선,0,7,shinbundang-D010,shinbundang-D010,청계산입구,37.4487148,127.0543396,db,comp,D10,청계산입구
shinbundang,신분당선,신분당선,신분당선,0,8,shinbundang-D011,gyeonggang-1501,판교,37.3957148,127.1112107,db,comp,D11,판교
shinbundang,신분당선,신분당선,신분당선,0,9,shinbundang-D012,bundang-1857,정자,37.3682102,127.1083859,db,comp,D12,정자
shinbundang,신분당선,신분당선,신분당선,0,10,shinbundang-D013,bundang-1858,미금,37.3511833,127.1089028,db,comp,D13,미금
shinbundang,신분당선,신분당선,신분당선,0,11,shinbundang-D014,shinbundang-D014,동천,37.3386841,127.1027937,db,comp,D14,동천
shinbundang,신분당선,신분당선,신분당선,0,12,shinbundang-D015,shinbundang-D015,수지구청,37.3230090,127.0955813,db,comp,D15,수지구청
shinbundang,신분당선,신분당선,신분당선,0,13,shinbundang-D016,shinbundang-D016,성복,37.3140425,127.0807578,db,comp,D16,성복
shinbundang,신분당선,신분당선,신분당선,0,14,shinbundang-D017,shinbundang-D017,상현,37.2986853,127.0695799,db,comp,D17,상현
shinbundang,신분당선,신분당선,신분당선,0,15,shinbundang-D018,shinbundang-D018,광교중앙(아주대),37.2877375,127.0526250,db,comp,D18,광교중앙
shinbundang,신분당선,신분당선,신분당선,0,16,shinbundang-D019,shinbundang-D019,광교(경기대),37.3017347,127.0448561,db,comp,D19,광교
seoul3,수도권 광역철도 3호선,3호선,3호선,0,1,seoul3-0319,ilsan-1949,지축,37.6481510,126.9137510,db,comp,319,지축
seoul3,수도권 광역철도 3호선,3호선,3호선,0,2,seoul3-0320,seoul3-0320,구파발,37.6366120,126.9188270,db,comp,320,구파발
seoul3,수도권 광역철도 3호선,3호선,3호선,0,3,seoul3-0321,gtxa-N04,연신내,37.6192950,126.9209590,db,comp,321,연신내
seoul3,수도권 광역철도 3호선,3호선,3호선,0,4,seoul3-0322,seoul3-0322,불광,37.6101540,126.9301830,db,comp,322,불광
seoul3,수도권 광역철도 3호선,3호선,3호선,0,5,seoul3-0323,seoul3-0323,녹번,37.6008820,126.9357580,db,comp,323,녹번
